feature,value,set,chem_prop,tax_prop,exp,challenge,chem_fp,conctype,groupsplit,tax_pdm,n_inducing,fold
.kernel.kernels[2].lengthscales.tax_eco_ecozone_MA,2271.95294,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_ecozone_MC,2.5643,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_ecozone_MI,80.60511,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_ecozone_MN,617.01485,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_ecozone_MP,6.86117,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_ecozone_TA,6.6341,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_ecozone_TH,1231.85544,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_ecozone_TN,1398.77602,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_ecozone_TP,3.66252,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_ps_ampv,1841.11086,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_ps_ampkap,1412.66572,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_ps_amppm,3545.03721,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_lh_amd,3.36723,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_lh_licm,1717.27152,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.mean_function.c,0.44139,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[0].variance,43.90771,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].variance,102.68311,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[2].variance,4.77116,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[3].variance,66.36902,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.likelihood.variance,0.43081,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[0].lengthscales.result_conc1_type_F,6.53259,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[0].lengthscales.result_conc1_type_T,322.20797,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[0].lengthscales.test_exposure_type_NR,75.01427,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[0].lengthscales.test_exposure_type_R,5.64462,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[0].lengthscales.test_exposure_type_S,27.34005,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[0].lengthscales.test_media_type_SW,84.07496,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[0].lengthscales.result_obs_duration_mean,50.18291,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS017,285.94509,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS019,215.63299,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS022,5.8524,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS023,234.24804,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS024,92.69342,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS025,203.15923,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS028,7.76761,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS029,2.08378,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS032,16.27908,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS033,170.33163,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS034,4.90658,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS035,16.5469,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS036,228.68197,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS037,207.16176,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS038,109.48757,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS039,177.20694,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS040,177.20694,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS041,285.20998,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS042,7.22212,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS043,249.36546,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS044,16.5469,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS046,8.98051,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS047,370.85407,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS048,335.68136,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS049,314.21155,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS050,55.01108,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS051,7.34284,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS052,34.64143,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS053,4.15111,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS054,12.67622,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS055,28.79247,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS056,171.70419,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS057,290.16148,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS058,150.70303,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS059,203.11245,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS060,154.63065,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS061,154.63065,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS062,52.22603,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS063,158.83276,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS064,33.3214,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS065,9.48953,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS066,391.34346,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS067,206.76682,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS069,263.77904,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS070,12.94453,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS071,132.23038,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS072,9.47764,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS073,276.63428,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS074,92.77779,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS075,225.67297,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS076,338.49349,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS077,8.84507,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS078,242.80609,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS079,241.69087,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS080,298.25005,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS081,280.15747,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS082,379.82559,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS083,40.67479,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS084,20.59147,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS085,68.6104,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS086,105.44387,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS087,326.8721,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS088,5.65839,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS089,7.62027,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS090,343.89851,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS091,291.36415,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS092,5.91519,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS093,381.18161,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS094,277.76602,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS095,9.61257,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS096,206.05561,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS097,179.83264,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS098,304.24196,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS099,132.14303,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS100,268.5901,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS101,327.65747,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS102,51.9053,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS103,16.0041,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS104,107.34127,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS105,308.9369,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS106,323.40074,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS107,17.95227,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS108,258.2449,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS109,209.01916,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS110,116.52791,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS111,285.03426,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS112,265.94748,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS113,25.76404,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS114,199.9851,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS115,320.15865,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS116,44.17372,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS117,4.68891,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS118,4.37431,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS119,206.75771,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS120,331.60161,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS121,255.75105,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS122,292.56504,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS123,5.43848,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS124,289.30214,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS125,9.19743,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS126,7.03529,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS127,174.23177,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS128,96.71411,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
.kernel.kernels[1].lengthscales.MACCS129,63.78729,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,MACCS,molar,occurrence,none,500,trainvalid
